county_fips,risk_score,expected_annual_loss_score,social_vulnerability_score,community_resilience_score,hazard_specific_mean_score
01001,57.56997455470738,59.870049504950494,38.04071247,55.1208651399491,352867.19710805675
01003,96.72391857506362,96.62747524752476,44.24300254,93.00254452926208,7065272.258195541
01005,48.1234096692112,30.538366336633665,96.3740458,11.164122137404581,249906.11647229493
01007,39.12213740458015,31.002475247524753,75.25445293,22.169211195928753,193022.79659124065
01009,68.4796437659033,62.34529702970298,69.33842239,15.648854961832063,504786.94416472665
01011,25.254452926208653,13.551980198019804,97.55089059,33.14249363867685,181004.39783277438
01013,45.16539440203562,32.42574257425743,91.76208651,50.031806615776084,315084.831343841
01015,88.45419847328245,84.77722772277228,81.48854962,48.44147582697201,1233262.3828365337
01017,47.23282442748092,38.70668316831683,79.42111959,41.4440203562341,220439.33144476917
01019,63.32697201017812,53.1559405940594,81.80661578,16.125954198473284,320780.2699758705
01021,54.70737913486005,53.125,52.60814249,21.43765903307888,339144.7404311506
01023,70.61068702290076,61.726485148514854,79.70737913,12.786259541984732,452597.7969384535
01025,53.40330788804071,46.132425742574256,74.10941476,35.846055979643765,393835.2275223922
01027,26.685750636132315,16.986386138613863,89.40839695,49.904580152671755,149022.46277153483
01029,27.480916030534353,17.481435643564357,84.25572519,8.333333333333332,148744.25447585474
01031,83.42875318066157,81.12623762376238,59.57379135,42.39821882951654,929882.8754985259
01033,80.6615776081425,76.63985148514851,69.81552163,68.06615776081425,930187.543045482
01035,31.106870229007633,18.626237623762375,93.28880407,17.39821882951654,222334.4537459811
01037,14.567430025445294,12.902227722772277,62.08651399,36.45038167938932,69264.33537221623
01039,82.44274809160305,75.18564356435643,86.73664122,40.42620865139949,1153956.2127110648
01041,34.38295165394402,23.050742574257427,90.29898219,32.66539440203562,223091.1862605748
01043,81.93384223918575,76.42326732673267,75.66793893,33.68320610687023,895072.8017805286
01045,67.74809160305344,57.73514851485149,81.87022901,15.776081424936386,561890.9741227151
01047,70.76972010178118,57.704207920792086,95.86513995,50.0,400300.4554023397
01049,80.37531806615776,73.66955445544554,74.68193384,13.454198473282442,709057.9899888352
01051,72.16921119592875,71.19430693069307,49.07760814,61.41857506361323,409131.8477793505
01053,85.01908396946564,77.47524752475248,89.69465649,26.52671755725191,1368826.7385803657
01055,87.34096692111959,83.8180693069307,77.98982188,57.56997455470738,1235548.7766999912
01057,38.16793893129771,29.146039603960393,78.84860051,24.045801526717558,225117.72512401317
01059,67.71628498727735,55.35272277227723,89.9173028,17.716284987277355,588551.631532357
01061,53.37150127226463,41.398514851485146,87.65903308,29.770992366412212,309081.0256310908
01063,29.293893129770993,15.532178217821782,98.12340967,21.151399491094146,169529.24190732863
01065,39.090330788804074,25.773514851485146,90.61704835,22.646310432569976,215329.84657951287
01067,42.04834605597965,28.991336633663366,93.38422392,46.69211195928753,268789.5254596799
01069,87.78625954198473,85.14851485148515,72.23282443,75.95419847328245,1400274.3863736042
01071,79.03944020356234,71.875,77.73536896,27.131043256997454,713552.9267976093
01073,97.6145038167939,96.9368811881188,56.20229008,79.99363867684478,4995004.621581354
01075,31.393129770992367,24.721534653465348,74.90458015,25.47709923664122,217415.8866677194
01077,85.49618320610686,84.80816831683168,46.85114504,61.036895674300254,1259389.5568666947
01079,69.30661577608143,61.664603960396036,78.72137405,32.56997455470738,596511.3072287478
01081,79.70737913486005,79.98143564356435,42.68447837,52.00381679389313,627784.2902119581
01083,79.9618320610687,82.88985148514851,23.75954198,76.17684478371501,1078831.2092991201
01085,29.07124681933842,14.975247524752474,99.61832061,26.653944020356235,169144.22163591383
01087,23.85496183206107,14.232673267326732,92.46183206,55.78880407124682,126782.37189488801
01089,94.56106870229007,95.20420792079209,26.6221374,83.68320610687023,3082302.4378826497
01091,52.16284987277354,36.50990099009901,96.88295165,35.36895674300254,308025.55390964844
01093,69.14758269720102,54.1769801980198,95.10178117,9.60559796437659,522755.67156786006
01095,87.30916030534351,83.75618811881188,75.34987277,39.026717557251914,1346946.7573705958
01097,98.02798982188295,97.64851485148515,53.94402036,79.67557251908397,8322591.1032337
01099,48.66412213740458,36.26237623762376,87.81806616,23.536895674300254,298671.3891575787
01101,91.82569974554707,89.51113861386139,71.34223919,72.45547073791349,1592035.2163314326
01103,88.83587786259542,87.0358910891089,60.8778626,47.93256997455471,1734820.9235542729
01105,18.829516539440203,9.06559405940594,98.95038168,30.756997455470735,127621.75452244024
01107,44.6882951653944,30.63118811881188,91.66666667,18.3206106870229,272697.3787956786
01109,43.98854961832061,37.80940594059406,74.49109415,57.601781170483456,268468.3670185571
01111,30.59796437659033,26.051980198019802,66.92111959,23.823155216284988,164407.99893613605
